neighbourhood_id,neighbourhood_group,neighbourhood
195,Staten Island,New Dorp Beach
196,Staten Island,Prince's Bay
197,Staten Island,South Beach
198,Brooklyn,Bath Beach
199,Queens,Jamaica Hills
200,Staten Island,Oakwood
201,Bronx,Castle Hill
202,Queens,Hollis
203,Queens,Douglaston
204,Staten Island,Huguenot
205,Bronx,Olinville
206,Bronx,Edenwald
207,Staten Island,Grant City
208,Staten Island,Westerleigh
209,Staten Island,"Bay Terrace, Staten Island"
210,Bronx,Westchester Square
211,Queens,Little Neck
212,Staten Island,Fort Wadsworth
213,Staten Island,Rosebank
214,Bronx,Unionport
215,Brooklyn,Mill Basin
216,Staten Island,Arden Heights
217,Staten Island,Bull's Head
218,Staten Island,New Dorp
219,Staten Island,Rossville
220,Queens,Breezy Point
221,Staten Island,Willowbrook
